Date,Quarter,Close,PE
2016-06-06,2016-Q2,88.16506007067098,
2016-06-07,2016-Q2,88.16506007067098,
2016-06-08,2016-Q2,88.16506007067098,
2016-06-09,2016-Q2,88.16506007067098,
2016-06-10,2016-Q2,88.16506007067098,
2016-06-13,2016-Q2,88.16506007067098,
2016-06-14,2016-Q2,88.16506007067098,
2016-06-15,2016-Q2,88.16506007067098,
2016-06-16,2016-Q2,88.16506007067098,
2016-06-17,2016-Q2,88.16506007067098,
2016-06-20,2016-Q2,88.16506007067098,
2016-06-21,2016-Q2,88.16506007067098,
2016-06-22,2016-Q2,88.16506007067098,
2016-06-23,2016-Q2,88.16506007067098,
2016-06-24,2016-Q2,88.16506007067098,
2016-06-27,2016-Q2,88.16506007067098,
2016-06-28,2016-Q2,88.16506007067098,
2016-06-29,2016-Q2,88.16506007067098,
2016-06-30,2016-Q2,88.16506007067098,
2016-07-01,2016-Q3,88.16506007067098,
2016-07-04,2016-Q3,88.16506007067098,
2016-07-05,2016-Q3,88.16506007067098,
2016-07-06,2016-Q3,88.16506007067098,
2016-07-07,2016-Q3,88.16506007067098,
2016-07-08,2016-Q3,88.16506007067098,
2016-07-11,2016-Q3,88.16506007067098,
2016-07-12,2016-Q3,88.16506007067098,
2016-07-13,2016-Q3,88.16506007067098,
2016-07-14,2016-Q3,88.16506007067098,
2016-07-15,2016-Q3,88.16506007067098,
2016-07-18,2016-Q3,88.16506007067098,
2016-07-19,2016-Q3,88.16506007067098,
2016-07-20,2016-Q3,88.16506007067098,
2016-07-21,2016-Q3,88.16506007067098,
2016-07-22,2016-Q3,88.16506007067098,
2016-07-25,2016-Q3,88.16506007067098,
2016-07-26,2016-Q3,88.16506007067098,
2016-07-27,2016-Q3,88.16506007067098,
2016-07-28,2016-Q3,88.16506007067098,
2016-07-29,2016-Q3,88.16506007067098,
2016-08-01,2016-Q3,88.16506007067098,
2016-08-02,2016-Q3,88.16506007067098,
2016-08-03,2016-Q3,88.16506007067098,
2016-08-04,2016-Q3,88.16506007067098,
2016-08-05,2016-Q3,88.16506007067098,
2016-08-08,2016-Q3,88.16506007067098,
2016-08-09,2016-Q3,88.16506007067098,
2016-08-10,2016-Q3,88.16506007067098,
2016-08-11,2016-Q3,88.16506007067098,
2016-08-12,2016-Q3,88.16506007067098,
2016-08-15,2016-Q3,88.16506007067098,
2016-08-16,2016-Q3,88.16506007067098,
2016-08-17,2016-Q3,88.16506007067098,
2016-08-18,2016-Q3,88.16506007067098,
2016-08-19,2016-Q3,88.16506007067098,
2016-08-22,2016-Q3,88.16506007067098,
2016-08-23,2016-Q3,88.16506007067098,
2016-08-24,2016-Q3,88.16506007067098,
2016-08-25,2016-Q3,88.16506007067098,
2016-08-26,2016-Q3,88.16506007067098,
2016-08-29,2016-Q3,88.16506007067098,
2016-08-30,2016-Q3,88.16506007067098,
2016-08-31,2016-Q3,88.16506007067098,
2016-09-01,2016-Q3,88.16506007067098,
2016-09-02,2016-Q3,88.16506007067098,
2016-09-05,2016-Q3,88.16506007067098,
2016-09-06,2016-Q3,88.16506007067098,
2016-09-07,2016-Q3,88.16506007067098,
2016-09-08,2016-Q3,88.16506007067098,
2016-09-09,2016-Q3,88.16506007067098,
2016-09-12,2016-Q3,88.16506007067098,
2016-09-13,2016-Q3,88.16506007067098,
2016-09-14,2016-Q3,88.16506007067098,
2016-09-15,2016-Q3,88.16506007067098,
2016-09-16,2016-Q3,88.16506007067098,
2016-09-19,2016-Q3,88.16506007067098,
2016-09-20,2016-Q3,88.16506007067098,
2016-09-21,2016-Q3,88.16506007067098,
2016-09-22,2016-Q3,88.16506007067098,
2016-09-23,2016-Q3,88.16506007067098,
2016-09-26,2016-Q3,88.16506007067098,
2016-09-27,2016-Q3,88.16506007067098,
2016-09-28,2016-Q3,88.16506007067098,
2016-09-29,2016-Q3,88.16506007067098,
2016-09-30,2016-Q3,88.16506007067098,
2016-10-03,2016-Q4,88.16506007067098,
2016-10-04,2016-Q4,88.16506007067098,
2016-10-05,2016-Q4,88.16506007067098,
2016-10-06,2016-Q4,88.16506007067098,
2016-10-07,2016-Q4,88.16506007067098,
2016-10-10,2016-Q4,88.16506007067098,
2016-10-11,2016-Q4,88.16506007067098,
2016-10-12,2016-Q4,88.16506007067098,
2016-10-13,2016-Q4,88.16506007067098,
2016-10-14,2016-Q4,88.16506007067098,
2016-10-17,2016-Q4,88.16506007067098,
2016-10-18,2016-Q4,88.16506007067098,
2016-10-19,2016-Q4,88.16506007067098,
2016-10-20,2016-Q4,88.16506007067098,
2016-10-21,2016-Q4,88.16506007067098,
2016-10-24,2016-Q4,88.16506007067098,
2016-10-25,2016-Q4,88.16506007067098,
2016-10-26,2016-Q4,88.16506007067098,
2016-10-27,2016-Q4,88.16506007067098,
2016-10-28,2016-Q4,88.16506007067098,
2016-10-30,2016-Q4,88.16506007067098,
2016-10-31,2016-Q4,88.16506007067098,
2016-11-01,2016-Q4,88.16506007067098,
2016-11-02,2016-Q4,88.16506007067098,
2016-11-03,2016-Q4,88.16506007067098,
2016-11-04,2016-Q4,88.16506007067098,
2016-11-07,2016-Q4,88.16506007067098,
2016-11-08,2016-Q4,88.16506007067098,
2016-11-09,2016-Q4,88.16506007067098,
2016-11-10,2016-Q4,88.16506007067098,
2016-11-11,2016-Q4,88.16506007067098,
2016-11-14,2016-Q4,88.16506007067098,
2016-11-15,2016-Q4,88.16506007067098,
2016-11-16,2016-Q4,88.16506007067098,
2016-11-17,2016-Q4,88.16506007067098,
2016-11-18,2016-Q4,88.16506007067098,
2016-11-21,2016-Q4,88.16506007067098,
2016-11-22,2016-Q4,88.16506007067098,
2016-11-23,2016-Q4,88.16506007067098,
2016-11-24,2016-Q4,88.16506007067098,
2016-11-25,2016-Q4,88.16506007067098,
2016-11-28,2016-Q4,88.16506007067098,
2016-11-29,2016-Q4,88.16506007067098,
2016-11-30,2016-Q4,88.16506007067098,
2016-12-01,2016-Q4,88.16506007067098,
2016-12-02,2016-Q4,88.16506007067098,
2016-12-05,2016-Q4,88.16506007067098,
2016-12-06,2016-Q4,88.16506007067098,
2016-12-07,2016-Q4,88.16506007067098,
2016-12-08,2016-Q4,88.16506007067098,
2016-12-09,2016-Q4,88.16506007067098,
2016-12-12,2016-Q4,88.16506007067098,
2016-12-13,2016-Q4,88.16506007067098,
2016-12-14,2016-Q4,88.16506007067098,
2016-12-15,2016-Q4,88.16506007067098,
2016-12-16,2016-Q4,88.16506007067098,
2016-12-19,2016-Q4,88.16506007067098,
2016-12-20,2016-Q4,88.16506007067098,
2016-12-21,2016-Q4,88.16506007067098,
2016-12-22,2016-Q4,88.16506007067098,
2016-12-23,2016-Q4,88.16506007067098,
2016-12-26,2016-Q4,88.16506007067098,
2016-12-27,2016-Q4,88.16506007067098,
2016-12-28,2016-Q4,88.16506007067098,
2016-12-29,2016-Q4,88.16506007067098,
2016-12-30,2016-Q4,88.16506007067098,
2017-01-02,2017-Q1,88.16506007067098,
2017-01-03,2017-Q1,88.16506007067098,
2017-01-04,2017-Q1,88.16506007067098,
2017-01-05,2017-Q1,88.16506007067098,
2017-01-06,2017-Q1,88.16506007067098,
2017-01-09,2017-Q1,88.16506007067098,
2017-01-10,2017-Q1,88.16506007067098,
2017-01-11,2017-Q1,88.16506007067098,
2017-01-12,2017-Q1,88.16506007067098,
2017-01-13,2017-Q1,88.16506007067098,
2017-01-16,2017-Q1,88.16506007067098,
2017-01-17,2017-Q1,88.16506007067098,
2017-01-18,2017-Q1,88.16506007067098,
2017-01-19,2017-Q1,88.16506007067098,
2017-01-20,2017-Q1,88.16506007067098,
2017-01-23,2017-Q1,88.16506007067098,
2017-01-24,2017-Q1,88.16506007067098,
2017-01-25,2017-Q1,88.16506007067098,
2017-01-26,2017-Q1,88.16506007067098,
2017-01-27,2017-Q1,88.16506007067098,
2017-01-30,2017-Q1,88.16506007067098,
2017-01-31,2017-Q1,88.16506007067098,
2017-02-01,2017-Q1,88.16506007067098,
2017-02-02,2017-Q1,88.16506007067098,
2017-02-03,2017-Q1,88.16506007067098,
2017-02-06,2017-Q1,88.16506007067098,
2017-02-07,2017-Q1,88.16506007067098,
2017-02-08,2017-Q1,88.16506007067098,
2017-02-09,2017-Q1,88.16506007067098,
2017-02-10,2017-Q1,88.16506007067098,
2017-02-13,2017-Q1,88.16506007067098,
2017-02-14,2017-Q1,88.16506007067098,
2017-02-15,2017-Q1,88.16506007067098,
2017-02-16,2017-Q1,88.16506007067098,
2017-02-17,2017-Q1,88.16506007067098,
2017-02-20,2017-Q1,88.16506007067098,
2017-02-21,2017-Q1,88.16506007067098,
2017-02-22,2017-Q1,88.16506007067098,
2017-02-23,2017-Q1,88.16506007067098,
2017-02-24,2017-Q1,88.16506007067098,
2017-02-27,2017-Q1,88.16506007067098,
2017-02-28,2017-Q1,88.16506007067098,
2017-03-01,2017-Q1,88.16506007067098,
2017-03-02,2017-Q1,88.16506007067098,
2017-03-03,2017-Q1,88.16506007067098,
2017-03-06,2017-Q1,88.16506007067098,
2017-03-07,2017-Q1,88.16506007067098,
2017-03-08,2017-Q1,88.16506007067098,
2017-03-09,2017-Q1,88.16506007067098,
2017-03-10,2017-Q1,88.16506007067098,
2017-03-13,2017-Q1,88.16506007067098,
2017-03-14,2017-Q1,88.16506007067098,
2017-03-15,2017-Q1,88.16506007067098,
2017-03-16,2017-Q1,88.16506007067098,
2017-03-17,2017-Q1,88.16506007067098,
2017-03-20,2017-Q1,88.16506007067098,
2017-03-21,2017-Q1,88.16506007067098,
2017-03-22,2017-Q1,88.16506007067098,
2017-03-23,2017-Q1,88.16506007067098,
2017-03-24,2017-Q1,88.16506007067098,
2017-03-27,2017-Q1,88.16506007067098,
2017-03-28,2017-Q1,88.16506007067098,
2017-03-29,2017-Q1,88.16506007067098,
2017-03-30,2017-Q1,88.16506007067098,
2017-03-31,2017-Q1,88.16506007067098,
2017-04-03,2017-Q2,88.16506007067098,
2017-04-04,2017-Q2,88.16506007067098,
2017-04-05,2017-Q2,88.16506007067098,
2017-04-06,2017-Q2,88.16506007067098,
2017-04-07,2017-Q2,88.16506007067098,
2017-04-10,2017-Q2,88.16506007067098,
2017-04-11,2017-Q2,88.16506007067098,
2017-04-12,2017-Q2,88.16506007067098,
2017-04-13,2017-Q2,88.16506007067098,
2017-04-14,2017-Q2,88.16506007067098,
2017-04-17,2017-Q2,88.16506007067098,
2017-04-18,2017-Q2,88.16506007067098,
2017-04-19,2017-Q2,88.16506007067098,
2017-04-20,2017-Q2,88.16506007067098,
2017-04-21,2017-Q2,88.16506007067098,
2017-04-24,2017-Q2,88.16506007067098,
2017-04-25,2017-Q2,88.16506007067098,
2017-04-26,2017-Q2,88.16506007067098,
2017-04-27,2017-Q2,88.16506007067098,
2017-04-28,2017-Q2,88.16506007067098,
2017-05-01,2017-Q2,88.16506007067098,
2017-05-02,2017-Q2,88.16506007067098,
2017-05-03,2017-Q2,88.16506007067098,
2017-05-04,2017-Q2,88.16506007067098,
2017-05-05,2017-Q2,88.16506007067098,
2017-05-08,2017-Q2,88.16506007067098,
2017-05-09,2017-Q2,88.16506007067098,
2017-05-10,2017-Q2,88.16506007067098,
2017-05-11,2017-Q2,88.16506007067098,
2017-05-12,2017-Q2,88.16506007067098,
2017-05-15,2017-Q2,88.16506007067098,
2017-05-16,2017-Q2,88.16506007067098,
2017-05-17,2017-Q2,88.16506007067098,
2017-05-18,2017-Q2,88.16506007067098,
2017-05-19,2017-Q2,88.16506007067098,
2017-05-22,2017-Q2,88.16506007067098,
2017-05-23,2017-Q2,88.16506007067098,
2017-05-24,2017-Q2,88.16506007067098,
2017-05-25,2017-Q2,88.16506007067098,
2017-05-26,2017-Q2,88.16506007067098,
2017-05-29,2017-Q2,88.16506007067098,
2017-05-30,2017-Q2,88.16506007067098,
2017-05-31,2017-Q2,88.16506007067098,
2017-06-01,2017-Q2,88.16506007067098,
2017-06-02,2017-Q2,88.16506007067098,
2017-06-05,2017-Q2,88.16506007067098,
2017-06-06,2017-Q2,88.16506007067098,
2017-06-07,2017-Q2,88.16506007067098,
2017-06-08,2017-Q2,88.16506007067098,
2017-06-09,2017-Q2,88.16506007067098,
2017-06-12,2017-Q2,88.16506007067098,
2017-06-13,2017-Q2,88.16506007067098,
2017-06-14,2017-Q2,88.16506007067098,
2017-06-15,2017-Q2,88.16506007067098,
2017-06-16,2017-Q2,88.16506007067098,
2017-06-19,2017-Q2,88.16506007067098,
2017-06-20,2017-Q2,88.16506007067098,
2017-06-21,2017-Q2,88.16506007067098,
2017-06-22,2017-Q2,88.16506007067098,
2017-06-23,2017-Q2,88.16506007067098,
2017-06-26,2017-Q2,88.16506007067098,
2017-06-27,2017-Q2,88.16506007067098,
2017-06-28,2017-Q2,88.16506007067098,
2017-06-29,2017-Q2,88.16506007067098,
2017-06-30,2017-Q2,88.16506007067098,
2017-07-03,2017-Q3,88.16506007067098,
2017-07-04,2017-Q3,88.16506007067098,
2017-07-05,2017-Q3,88.16506007067098,
2017-07-06,2017-Q3,88.16506007067098,
2017-07-07,2017-Q3,88.16506007067098,
2017-07-10,2017-Q3,88.16506007067098,
2017-07-11,2017-Q3,88.16506007067098,
2017-07-12,2017-Q3,88.16506007067098,
2017-07-13,2017-Q3,88.16506007067098,
2017-07-14,2017-Q3,88.16506007067098,
2017-07-17,2017-Q3,88.16506007067098,
2017-07-18,2017-Q3,88.16506007067098,
2017-07-19,2017-Q3,88.16506007067098,
2017-07-20,2017-Q3,88.16506007067098,
2017-07-21,2017-Q3,88.16506007067098,
2017-07-24,2017-Q3,88.16506007067098,
2017-07-25,2017-Q3,88.16506007067098,
2017-07-26,2017-Q3,88.16506007067098,
2017-07-27,2017-Q3,88.16506007067098,
2017-07-28,2017-Q3,88.16506007067098,
2017-07-31,2017-Q3,88.16506007067098,
2017-08-01,2017-Q3,88.16506007067098,
2017-08-02,2017-Q3,88.16506007067098,
2017-08-03,2017-Q3,88.16506007067098,
2017-08-04,2017-Q3,88.16506007067098,
2017-08-07,2017-Q3,88.16506007067098,
2017-08-08,2017-Q3,88.16506007067098,
2017-08-09,2017-Q3,88.16506007067098,
2017-08-10,2017-Q3,88.16506007067098,
2017-08-11,2017-Q3,88.16506007067098,
2017-08-14,2017-Q3,88.16506007067098,
2017-08-15,2017-Q3,88.16506007067098,
2017-08-16,2017-Q3,88.16506007067098,
2017-08-17,2017-Q3,88.16506007067098,
2017-08-18,2017-Q3,88.16506007067098,
2017-08-21,2017-Q3,88.16506007067098,
2017-08-22,2017-Q3,88.16506007067098,
2017-08-23,2017-Q3,88.16506007067098,
2017-08-24,2017-Q3,88.16506007067098,
2017-08-25,2017-Q3,88.16506007067098,
2017-08-28,2017-Q3,88.16506007067098,
2017-08-29,2017-Q3,88.16506007067098,
2017-08-30,2017-Q3,88.16506007067098,
2017-08-31,2017-Q3,88.16506007067098,
2017-09-01,2017-Q3,88.16506007067098,
2017-09-04,2017-Q3,88.16506007067098,
2017-09-05,2017-Q3,88.16506007067098,
2017-09-06,2017-Q3,88.16506007067098,
2017-09-07,2017-Q3,88.16506007067098,
2017-09-08,2017-Q3,88.16506007067098,
2017-09-11,2017-Q3,88.16506007067098,
2017-09-12,2017-Q3,88.16506007067098,
2017-09-13,2017-Q3,88.16506007067098,
2017-09-14,2017-Q3,88.16506007067098,
2017-09-15,2017-Q3,88.16506007067098,
2017-09-18,2017-Q3,88.16506007067098,
2017-09-19,2017-Q3,88.16506007067098,
2017-09-20,2017-Q3,88.16506007067098,
2017-09-21,2017-Q3,88.16506007067098,
2017-09-22,2017-Q3,88.16506007067098,
2017-09-25,2017-Q3,88.16506007067098,
2017-09-26,2017-Q3,88.16506007067098,
2017-09-27,2017-Q3,88.16506007067098,
2017-09-28,2017-Q3,88.16506007067098,
2017-09-29,2017-Q3,88.16506007067098,
2017-10-02,2017-Q4,88.16506007067098,
2017-10-03,2017-Q4,88.16506007067098,
2017-10-04,2017-Q4,88.16506007067098,
2017-10-05,2017-Q4,88.16506007067098,
2017-10-06,2017-Q4,88.16506007067098,
2017-10-09,2017-Q4,88.16506007067098,
2017-10-10,2017-Q4,88.16506007067098,
2017-10-11,2017-Q4,88.16506007067098,
2017-10-12,2017-Q4,88.16506007067098,
2017-10-13,2017-Q4,88.16506007067098,
2017-10-16,2017-Q4,88.16506007067098,
2017-10-17,2017-Q4,88.16506007067098,
2017-10-18,2017-Q4,88.16506007067098,
2017-10-19,2017-Q4,88.16506007067098,
2017-10-20,2017-Q4,88.16506007067098,
2017-10-23,2017-Q4,88.16506007067098,
2017-10-24,2017-Q4,88.16506007067098,
2017-10-25,2017-Q4,88.16506007067098,
2017-10-26,2017-Q4,88.16506007067098,
2017-10-27,2017-Q4,88.16506007067098,
2017-10-30,2017-Q4,88.16506007067098,
2017-10-31,2017-Q4,88.16506007067098,
2017-11-01,2017-Q4,88.16506007067098,
2017-11-02,2017-Q4,88.16506007067098,
2017-11-03,2017-Q4,88.16506007067098,
2017-11-06,2017-Q4,88.16506007067098,
2017-11-07,2017-Q4,88.16506007067098,
2017-11-08,2017-Q4,88.16506007067098,
2017-11-09,2017-Q4,88.16506007067098,
2017-11-10,2017-Q4,88.16506007067098,
2017-11-13,2017-Q4,88.16506007067098,
2017-11-14,2017-Q4,88.16506007067098,
2017-11-15,2017-Q4,88.16506007067098,
2017-11-16,2017-Q4,88.16506007067098,
2017-11-17,2017-Q4,88.16506007067098,
2017-11-20,2017-Q4,88.16506007067098,
2017-11-21,2017-Q4,88.16506007067098,
2017-11-22,2017-Q4,88.16506007067098,
2017-11-23,2017-Q4,88.16506007067098,
2017-11-24,2017-Q4,88.16506007067098,
2017-11-27,2017-Q4,88.16506007067098,
2017-11-28,2017-Q4,88.16506007067098,
2017-11-29,2017-Q4,88.16506007067098,
2017-11-30,2017-Q4,88.16506007067098,
2017-12-01,2017-Q4,88.16506007067098,
2017-12-04,2017-Q4,88.16506007067098,
2017-12-05,2017-Q4,88.16506007067098,
2017-12-06,2017-Q4,88.16506007067098,
2017-12-07,2017-Q4,88.16506007067098,
2017-12-08,2017-Q4,88.16506007067098,
2017-12-11,2017-Q4,88.16506007067098,
2017-12-12,2017-Q4,88.16506007067098,
2017-12-13,2017-Q4,88.16506007067098,
2017-12-14,2017-Q4,88.16506007067098,
2017-12-15,2017-Q4,88.16506007067098,
2017-12-18,2017-Q4,88.16506007067098,
2017-12-19,2017-Q4,88.16506007067098,
2017-12-20,2017-Q4,88.16506007067098,
2017-12-21,2017-Q4,88.16506007067098,
2017-12-22,2017-Q4,88.16506007067098,
2017-12-25,2017-Q4,88.16506007067098,
2017-12-26,2017-Q4,88.16506007067098,
2017-12-27,2017-Q4,88.16506007067098,
2017-12-28,2017-Q4,88.16506007067098,
2017-12-29,2017-Q4,88.16506007067098,
2018-01-01,2018-Q1,88.16506007067098,
2018-01-02,2018-Q1,88.16506007067098,
2018-01-03,2018-Q1,88.16506007067098,
2018-01-04,2018-Q1,88.16506007067098,
2018-01-05,2018-Q1,88.16506007067098,
2018-01-08,2018-Q1,88.16506007067098,
2018-01-09,2018-Q1,88.16506007067098,
2018-01-10,2018-Q1,88.16506007067098,
2018-01-11,2018-Q1,88.16506007067098,
2018-01-12,2018-Q1,88.16506007067098,
2018-01-15,2018-Q1,88.16506007067098,
2018-01-16,2018-Q1,88.16506007067098,
2018-01-17,2018-Q1,88.16506007067098,
2018-01-18,2018-Q1,88.16506007067098,
2018-01-19,2018-Q1,88.16506007067098,
2018-01-22,2018-Q1,88.16506007067098,
2018-01-23,2018-Q1,88.16506007067098,
2018-01-24,2018-Q1,88.16506007067098,
2018-01-25,2018-Q1,88.16506007067098,
2018-01-26,2018-Q1,88.16506007067098,
2018-01-29,2018-Q1,88.16506007067098,
2018-01-30,2018-Q1,88.16506007067098,
2018-01-31,2018-Q1,88.16506007067098,
2018-02-01,2018-Q1,88.16506007067098,
2018-02-02,2018-Q1,88.16506007067098,
2018-02-05,2018-Q1,88.16506007067098,
2018-02-06,2018-Q1,88.16506007067098,
2018-02-07,2018-Q1,88.16506007067098,
2018-02-08,2018-Q1,88.16506007067098,
2018-02-09,2018-Q1,88.16506007067098,
2018-02-12,2018-Q1,88.16506007067098,
2018-02-13,2018-Q1,88.16506007067098,
2018-02-14,2018-Q1,88.16506007067098,
2018-02-15,2018-Q1,88.16506007067098,
2018-02-16,2018-Q1,88.16506007067098,
2018-02-19,2018-Q1,88.16506007067098,
2018-02-20,2018-Q1,88.16506007067098,
2018-02-21,2018-Q1,88.16506007067098,
2018-02-22,2018-Q1,88.16506007067098,
2018-02-23,2018-Q1,88.16506007067098,
2018-02-26,2018-Q1,88.16506007067098,
2018-02-27,2018-Q1,88.16506007067098,
2018-02-28,2018-Q1,88.16506007067098,
2018-03-01,2018-Q1,88.16506007067098,
2018-03-02,2018-Q1,88.16506007067098,
2018-03-05,2018-Q1,88.16506007067098,
2018-03-06,2018-Q1,88.16506007067098,
2018-03-07,2018-Q1,88.16506007067098,
2018-03-08,2018-Q1,88.16506007067098,
2018-03-09,2018-Q1,88.16506007067098,
2018-03-12,2018-Q1,88.16506007067098,
2018-03-13,2018-Q1,88.16506007067098,
2018-03-14,2018-Q1,88.16506007067098,
2018-03-15,2018-Q1,88.16506007067098,
2018-03-16,2018-Q1,88.16506007067098,
2018-03-19,2018-Q1,88.16506007067098,
2018-03-20,2018-Q1,88.16506007067098,
2018-03-21,2018-Q1,88.16506007067098,
2018-03-22,2018-Q1,88.16506007067098,
2018-03-23,2018-Q1,88.16506007067098,
2018-03-26,2018-Q1,88.16506007067098,
2018-03-27,2018-Q1,88.16506007067098,
2018-03-28,2018-Q1,88.16506007067098,
2018-03-29,2018-Q1,88.16506007067098,
2018-03-30,2018-Q1,88.16506007067098,
2018-04-02,2018-Q2,88.16506007067098,
2018-04-03,2018-Q2,88.16506007067098,
2018-04-04,2018-Q2,88.16506007067098,
2018-04-05,2018-Q2,88.16506007067098,
2018-04-06,2018-Q2,88.16506007067098,
2018-04-09,2018-Q2,88.16506007067098,
2018-04-10,2018-Q2,88.16506007067098,
2018-04-11,2018-Q2,88.16506007067098,
2018-04-12,2018-Q2,88.16506007067098,
2018-04-13,2018-Q2,88.16506007067098,
2018-04-16,2018-Q2,88.16506007067098,
2018-04-17,2018-Q2,88.16506007067098,
2018-04-18,2018-Q2,88.16506007067098,
2018-04-19,2018-Q2,88.16506007067098,
2018-04-20,2018-Q2,88.16506007067098,
2018-04-23,2018-Q2,88.16506007067098,
2018-04-24,2018-Q2,88.16506007067098,
2018-04-25,2018-Q2,88.16506007067098,
2018-04-26,2018-Q2,88.16506007067098,
2018-04-27,2018-Q2,88.16506007067098,
2018-04-30,2018-Q2,88.16506007067098,
2018-05-01,2018-Q2,88.16506007067098,
2018-05-02,2018-Q2,88.16506007067098,
2018-05-03,2018-Q2,88.16506007067098,
2018-05-04,2018-Q2,88.16506007067098,
2018-05-07,2018-Q2,88.16506007067098,
2018-05-08,2018-Q2,88.16506007067098,
2018-05-09,2018-Q2,88.16506007067098,
2018-05-10,2018-Q2,88.16506007067098,
2018-05-11,2018-Q2,88.16506007067098,
2018-05-14,2018-Q2,88.16506007067098,
2018-05-15,2018-Q2,88.16506007067098,
2018-05-16,2018-Q2,88.16506007067098,
2018-05-17,2018-Q2,88.16506007067098,
2018-05-18,2018-Q2,88.16506007067098,
2018-05-21,2018-Q2,88.16506007067098,
2018-05-22,2018-Q2,88.16506007067098,
2018-05-23,2018-Q2,88.16506007067098,
2018-05-24,2018-Q2,88.16506007067098,
2018-05-25,2018-Q2,88.16506007067098,
2018-05-28,2018-Q2,88.16506007067098,
2018-05-29,2018-Q2,88.16506007067098,
2018-05-30,2018-Q2,88.16506007067098,
2018-05-31,2018-Q2,88.16506007067098,
2018-06-01,2018-Q2,88.16506007067098,
2018-06-04,2018-Q2,88.16506007067098,
2018-06-05,2018-Q2,88.16506007067098,
2018-06-06,2018-Q2,88.16506007067098,
2018-06-07,2018-Q2,88.16506007067098,
2018-06-08,2018-Q2,88.16506007067098,
2018-06-11,2018-Q2,88.16506007067098,
2018-06-12,2018-Q2,88.16506007067098,
2018-06-13,2018-Q2,88.16506007067098,
2018-06-14,2018-Q2,88.16506007067098,
2018-06-15,2018-Q2,88.16506007067098,
2018-06-18,2018-Q2,88.16506007067098,
2018-06-19,2018-Q2,88.16506007067098,
2018-06-20,2018-Q2,88.16506007067098,
2018-06-21,2018-Q2,88.16506007067098,
2018-06-22,2018-Q2,88.16506007067098,
2018-06-25,2018-Q2,88.16506007067098,
2018-06-26,2018-Q2,88.16506007067098,
2018-06-27,2018-Q2,88.16506007067098,
2018-06-28,2018-Q2,88.16506007067098,
2018-06-29,2018-Q2,88.16506007067098,
2018-07-02,2018-Q3,88.16506007067098,
2018-07-03,2018-Q3,88.16506007067098,
2018-07-04,2018-Q3,88.16506007067098,
2018-07-05,2018-Q3,88.16506007067098,
2018-07-06,2018-Q3,88.16506007067098,
2018-07-09,2018-Q3,88.16506007067098,
2018-07-10,2018-Q3,88.16506007067098,
2018-07-11,2018-Q3,88.16506007067098,
2018-07-12,2018-Q3,88.16506007067098,
2018-07-13,2018-Q3,88.16506007067098,
2018-07-16,2018-Q3,88.16506007067098,
2018-07-17,2018-Q3,88.16506007067098,
2018-07-18,2018-Q3,88.16506007067098,
2018-07-19,2018-Q3,88.16506007067098,
2018-07-20,2018-Q3,88.16506007067098,
2018-07-23,2018-Q3,88.16506007067098,
2018-07-24,2018-Q3,88.16506007067098,
2018-07-25,2018-Q3,88.16506007067098,
2018-07-26,2018-Q3,88.16506007067098,
2018-07-27,2018-Q3,88.16506007067098,
2018-07-30,2018-Q3,88.16506007067098,
2018-07-31,2018-Q3,88.16506007067098,
2018-08-01,2018-Q3,88.16506007067098,
2018-08-02,2018-Q3,88.16506007067098,
2018-08-03,2018-Q3,88.16506007067098,
2018-08-06,2018-Q3,88.16506007067098,
2018-08-07,2018-Q3,88.16506007067098,
2018-08-08,2018-Q3,88.16506007067098,
2018-08-09,2018-Q3,88.16506007067098,
2018-08-10,2018-Q3,88.16506007067098,
2018-08-13,2018-Q3,88.16506007067098,
2018-08-14,2018-Q3,88.16506007067098,
2018-08-15,2018-Q3,88.16506007067098,
2018-08-16,2018-Q3,88.16506007067098,
2018-08-17,2018-Q3,88.16506007067098,
2018-08-20,2018-Q3,88.16506007067098,
